nombre,población,superficie,continente,onu
Afganistán,38928346,652230,Asia,true
Arabia Saudita,34813871,2149690,Asia,true
Armenia,2963243,29743,Asia,true
Azerbaiyán,10139177,86600,Asia,true
Bahrein,1701575,765,Asia,true
Bangladesh,164689383,147570,Asia,true
Bután,771608,38394,Asia,true
Brunei,437479,5765,Asia,true
Camboya,16718965,181035,Asia,true
Catar,2881053,11586,Asia,true
China,1403500365,9596961,Asia,true
Corea del Norte,25778816,120538,Asia,true
Corea del Sur,51269185,100210,Asia,true
Emiratos Árabes Unidos,9890402,83600,Asia,true
Filipinas,109581078,300000,Asia,true
Georgia,3989167,69700,Asia,true
India,1366417754,3287263,Asia,true
Indonesia,273523615,1904569,Asia,true
Irak,40222493,438317,Asia,true
Irán,83992949,1648195,Asia,true
Israel,8655535,20770,Asia,true
Japón,125800000,377975,Asia,true
Jordania,10203134,89342,Asia,true
Kazajistán,18776707,2724900,Asia,true
Kirguistán,6524195,199951,Asia,true
Kuwait,4270571,17818,Asia,true
Laos,7275560,236800,Asia,true
Líbano,6825445,10452,Asia,true
Malasia,32365999,330803,Asia,true
Maldivas,540544,298,Asia,true
Mongolia,3278290,1564110,Asia,true
Myanmar,54409800,676578,Asia,true
Nepal,29136808,147516,Asia,true
Omán,5106626,309500,Asia,true
Pakistán,220892340,881912,Asia,true
Singapur,5850342,719,Asia,true
Siria,17500658,185180,Asia,true
Sri Lanka,21413249,65610,Asia,true
Tailandia,69799978,513120,Asia,true
Tayikistán,9537645,143100,Asia,true
Timor Oriental,1318445,14874,Asia,true
Turkmenistán,6031200,488100,Asia,true
Turquía,84339067,783562,Asia,true
Uzbekistán,33469203,447400,Asia,true
Vietnam,97338579,331212,Asia,true
Yemen,29825964,527968,Asia,true
Taiwán,23816775,36193,Asia,false
Artsaj,150000,11458,Asia,false
República Turca del Norte de Chipre,326000,3355,Asia,false
Estado de Palestina,5101414,6220,Asia,false
Hong Kong,7500700,1106,Asia,false
Macao,649100,33,Asia,false
