nombre,población,superficie,continente,onu
Albania,2877797,28748,Europa,true
Alemania,83149300,357022,Europa,true
Andorra,77265,468,Europa,true
Austria,9006398,83879,Europa,true
Bielorrusia,9449323,207600,Europa,true
Bélgica,11589623,30528,Europa,true
Bosnia y Herzegovina,3280819,51197,Europa,true
Bulgaria,6948445,110879,Europa,true
Chipre,1207359,9251,Europa,true
Croacia,4105267,56594,Europa,true
Dinamarca,5792202,43094,Europa,true
Eslovaquia,5459642,49037,Europa,true
Eslovenia,2078938,20273,Europa,true
España,46754778,505992,Europa,true
Estonia,1326535,45227,Europa,true
Finlandia,5540720,338424,Europa,true
Francia,65273511,551695,Europa,true
Grecia,10423054,131990,Europa,true
Hungría,9660351,93028,Europa,true
Irlanda,4937786,70273,Europa,true
Islandia,341243,103000,Europa,true
Italia,60461826,301340,Europa,true
Letonia,1886198,64559,Europa,true
Liechtenstein,38128,160,Europa,true
Lituania,2722289,65300,Europa,true
Luxemburgo,625978,2586,Europa,true
Malta,441543,316,Europa,true
Moldavia,4033963,33846,Europa,true
Mónaco,39242,2,Europa,true
Montenegro,628066,13812,Europa,true
Noruega,5421241,323802,Europa,true
Países Bajos,17134872,41850,Europa,true
Polonia,37846611,312679,Europa,true
Portugal,10196709,92090,Europa,true
Reino Unido,67886011,242495,Europa,true
República Checa,10708981,78867,Europa,true
Rumanía,19237691,238397,Europa,true
Rusia,145934462,17098242,Europa,true
San Marino,33931,61,Europa,true
Serbia,8737371,88361,Europa,true
Suecia,10099265,450295,Europa,true
Suiza,8654622,41284,Europa,true
Ucrania,43733762,603500,Europa,true
Kosovo,1775378,10887,Europa,false
Abjasia,245424,8660,Europa,false
Osetia del Sur,53446,3900,Europa,false
Transnistria,347251,4163,Europa,false
Santa Sede (Ciudad del Vaticano),825,0,Europa,false
Islas Feroe,48863,1393,Europa,false
