nombre,población,superficie,continente,onu
Australia,25499884,7692024,Oceanía,true
Fiyi,896445,18274,Oceanía,true
Islas Marshall,59190,181,Oceanía,true
Islas Salomón,686884,28896,Oceanía,true
Kiribati,119449,811,Oceanía,true
Micronesia,115023,702,Oceanía,true
Nauru,10824,21,Oceanía,true
Nueva Zelanda,4822233,270467,Oceanía,true
Palaos,18094,459,Oceanía,true
Papúa Nueva Guinea,8947024,462840,Oceanía,true
Samoa,198414,2831,Oceanía,true
Tonga,105695,747,Oceanía,true
Tuvalu,11792,26,Oceanía,true
Vanuatu,307145,12189,Oceanía,true
Guam,168775,549,Oceanía,false
Samoa Americana,55191,199,Oceanía,false
Islas Marianas del Norte,57559,464,Oceanía,false
