nombre,población,superficie,continente,onu
Angola,32866272,1246700,África,true
Argelia,43851044,2381741,África,true
Benín,12123200,112622,África,true
Botsuana,2351627,581730,África,true
Burkina Faso,20903273,272967,África,true
Burundi,11890784,27834,África,true
Cabo Verde,555987,4033,África,true
Camerún,26545863,475442,África,true
Chad,16425864,1284000,África,true
Comoras,869601,1862,África,true
Congo,5518087,342000,África,true
Costa de Marfil,26378274,322463,África,true
Egipto,102334404,1002450,África,true
Eritrea,3546421,117600,África,true
Etiopía,114963588,1104300,África,true
Gabón,2225734,267667,África,true
Gambia,2416668,11295,África,true
Ghana,31072940,238533,África,true
Guinea,13132795,245857,África,true
Guinea-Bisáu,1968001,36125,África,true
Guinea Ecuatorial,1402985,28051,África,true
Kenia,53771296,580367,África,true
Lesoto,2142249,30355,África,true
Liberia,5057681,111369,África,true
Libia,6871292,1759540,África,true
Madagascar,27691018,587041,África,true
Malaui,19129952,118484,África,true
Malí,20250833,1240192,África,true
Marruecos,36910560,446550,África,true
Mauricio,1271768,2040,África,true
Mauritania,4649658,1030700,África,true
Mozambique,31255435,801590,África,true
Namibia,2540905,825615,África,true
Níger,24206644,1267000,África,true
Nigeria,206139589,923768,África,true
República Centroafricana,4829767,622984,África,true
República del Congo,5518087,342000,África,true
República Democrática del Congo,89561403,2344858,África,true
Ruanda,12952218,26338,África,true
Santo Tomé y Príncipe,219159,964,África,true
Senegal,16743927,196722,África,true
Seychelles,98347,452,África,true
Sierra Leona,7976983,71740,África,true
Somalia,15893222,637657,África,true
Suazilandia,1160164,17364,África,true
Sudáfrica,59308690,1221037,África,true
Sudán,43849260,1886068,África,true
Sudán del Sur,11193725,619745,África,true
Tanzania,59734218,945087,África,true
Togo,8278724,56785,África,true
Túnez,11818619,163610,África,true
Uganda,45741007,241038,África,true
Yibuti,988000,23200,África,true
Zambia,18383955,752618,África,true
Zimbabue,14862924,390757,África,true
República Árabe Saharaui Democrática,612000,266000,África,false
Somalilandia,4300000,176120,África,false
